Date,Close
1/1/2012,26.91
1/8/2012,22.790001
1/15/2012,26.6
1/22/2012,29.33
1/29/2012,31.15
2/5/2012,31.1
2/12/2012,34.970001
2/19/2012,33.75
2/26/2012,34.040001
3/4/2012,34.740002
3/11/2012,35.32
3/18/2012,34.080002
3/25/2012,37.240002
4/1/2012,34.48
4/8/2012,33.59
4/15/2012,33.16
4/22/2012,33.34
4/29/2012,31.83
5/6/2012,32.25
5/13/2012,27.559999
5/20/2012,29.809999
5/27/2012,28.15
6/3/2012,30.08
6/10/2012,29.91
6/17/2012,33.790001
6/24/2012,31.290001
7/1/2012,30.99
7/8/2012,34.25
7/15/2012,31.790001
7/22/2012,29.51
7/29/2012,27.27
8/5/2012,29.940001
8/12/2012,30.01
8/19/2012,29.5
8/26/2012,28.52
9/2/2012,29.35
9/9/2012,30.389999
9/16/2012,30.02
9/23/2012,29.280001
9/30/2012,28.889999
10/7/2012,27.639999
10/14/2012,27.74
10/21/2012,27.379999
10/28/2012,28.92
11/4/2012,30.32
11/11/2012,31.84
11/18/2012,32.130001
11/25/2012,33.82
12/2/2012,34.169998
12/9/2012,33.810001
12/16/2012,34
12/23/2012,33.220001
12/30/2012,34.400002
1/6/2013,32.91
1/13/2013,34.52
1/20/2013,36.98
1/27/2013,38.299999
2/3/2013,39.240002
2/10/2013,37.040001
2/17/2013,36.110001
2/24/2013,34.650002
3/3/2013,38.470001
3/10/2013,35.290001
3/17/2013,36.619999
3/24/2013,37.889999
3/31/2013,41.369999
4/7/2013,43.75
4/14/2013,47.830002
4/21/2013,51.200001
4/28/2013,54.549999
5/5/2013,76.760002
5/12/2013,91.5
5/19/2013,97.080002
5/26/2013,97.760002
6/2/2013,102.040001
6/9/2013,100.300003
6/16/2013,99.550003
6/23/2013,107.360001
6/30/2013,120.089996
7/7/2013,129.899994
7/14/2013,119.68
7/21/2013,129.389999
7/28/2013,138
8/4/2013,153
8/11/2013,142
8/18/2013,161.839996
8/25/2013,169
9/1/2013,166.970001
9/8/2013,165.539993
9/15/2013,183.389999
9/22/2013,190.899994
9/29/2013,180.979996
10/6/2013,178.699997
10/13/2013,183.399994
10/20/2013,169.660004
10/27/2013,162.169998
11/3/2013,137.949997
11/10/2013,135.449997
11/17/2013,121.379997
11/24/2013,127.279999
12/1/2013,137.360001
12/8/2013,147.649994
12/15/2013,143.240005
12/22/2013,151.119995
12/29/2013,149.559998
1/5/2014,145.720001
1/12/2014,170.009995
1/19/2014,174.600006
1/26/2014,181.410004
2/2/2014,186.529999
2/9/2014,198.229996
2/16/2014,209.600006
2/23/2014,244.809998
3/2/2014,246.210007
3/9/2014,230.970001
3/16/2014,228.889999
3/23/2014,212.369995
3/30/2014,212.229996
4/6/2014,203.779999
4/13/2014,198.119995
4/20/2014,199.850006
4/27/2014,210.910004
5/4/2014,182.259995
5/11/2014,191.559998
5/18/2014,207.300003
5/25/2014,207.770004
6/1/2014,208.169998
6/8/2014,206.419998
6/15/2014,229.589996
6/22/2014,239.059998
6/29/2014,229.25
7/6/2014,218.130005
7/13/2014,220.020004
7/20/2014,223.570007
7/27/2014,233.270004
8/3/2014,248.130005
8/10/2014,262.01001
8/17/2014,256.779999
8/24/2014,269.700012
8/31/2014,277.390015
9/7/2014,279.200012
9/14/2014,259.320007
9/21/2014,246.600006
9/28/2014,255.210007
10/5/2014,236.910004
10/12/2014,227.479996
10/19/2014,235.240005
10/26/2014,241.699997
11/2/2014,240.199997
11/9/2014,258.679993
11/16/2014,242.779999
11/23/2014,244.520004
11/30/2014,223.710007
12/7/2014,207
12/14/2014,219.289993
12/21/2014,227.820007
